ctprvn_cd,objt_id,fclty_cd,data_yr,emd_cd,fclty_nm,telno,rn_adres,sgg_cd,fclty_ty,x,y,adres
41,200071,509010,2025,41135111,세븐일레븐보바스기념,,경기도 성남시 분당구 대왕판교로 155-7,41135,편의점,14148494.87,4488860.566,경기도 성남시 분당구 금곡동 310-8
41,200072,509010,2025,41310107,씨유토평원룸점,,경기도 구리시 벌말로147번길 32,41310,편의점,14153976.56,4521694.583,경기도 구리시 토평동 970-7
41,200073,509010,2025,41590400,씨유화성요당리점,,경기도 화성시 양감면 은행나무로170번길 2,41590,편의점,14130844.63,4449582.823,경기도 화성시 양감면 요당리 2
41,200074,509010,2025,41610250,씨유신현으뜸점,,경기도 광주시 머루숯길81번길 2,41610,편의점,14155170.97,4490338.116,경기도 광주시 신현동 599-1
41,200075,509010,2025,41590126,미니스톱태안안녕점,,경기도 화성시 안녕남로 140,41590,편의점,14137342.42,4466411.106,경기도 화성시 안녕동 146-89
41,200076,509010,2025,41133101,GS25성남센트럴,,경기도 성남시 중원구 광명로 89,41133,편의점,14152949.88,4499961.843,경기도 성남시 중원구 성남동 1404
41,200077,509010,2025,41360101,미니스톱남양주,,경기도 남양주시 늘을1로16번안길 3-24,41360,편의점,14164421.06,4530713.119,경기도 남양주시 호평동 631-18
41,200078,509010,2025,41390132,GS25정왕연세점,,경기도 시흥시 함송로14번길 13-13,41390,편의점,14107474.68,4489778.597,경기도 시흥시 정왕동 1884-9
41,200079,509010,2025,41190109,코리아세븐부천상동,,경기도 부천시 원미구 상이로 61,41190,편의점,14109050.9,4508239.749,경기도 부천시 원미구 상동 586-3
41,200080,509010,2025,41590121,이마트24신동카페,,경기도 수원시 영통구 권선로882번길 107-38,41590,편의점,14142298.48,4473562.823,경기도 수원시 영통구 신동 958
41,200081,509010,2025,41190114,지에스GS25직업학교점,,경기도 부천시 소사구 경인로53번길 8,41190,편의점,14111027.95,4506780.731,경기도 부천시 소사구 송내동 366
41,200082,509010,2025,41190103,씨유부천원미로,,경기도 부천시 원미구 원미로 242,41190,편의점,14114742.2,4509578.35,경기도 부천시 원미구 춘의동 146-5
41,200083,509010,2025,41135107,CU분당매화,,경기도 성남시 분당구 벌말로30번길 32,41135,편의점,14153210.11,4496323.071,경기도 성남시 분당구 야탑동 265
41,200084,509010,2025,41480113,GS25,,경기도 파주시 와석순환로 133,41480,편의점,14109203.27,4538841.263,경기도 파주시 동패동 1759
41,200085,509010,2025,41590253,세븐일레븐신창점,,경기도 화성시 봉담읍 수영로 61-16,41590,편의점,14132594.72,4471944.644,경기도 화성시 봉담읍 수영리 672
41,200086,509010,2025,41590400,씨유화성대양점,,경기도 화성시 양감면 윗생이길 2,41590,편의점,14130973.42,4451402.383,경기도 화성시 양감면 대양리 511-1
41,200087,509010,2025,41650250,씨유포천미르점,,경기도 포천시 소흘읍 죽엽산로 267,41650,편의점,14155964.76,4552445.42,경기도 포천시 소흘읍 고모리 380-1
41,200088,509010,2025,41150101,세븐일레븐의정부,,경기도 의정부시 시민로 80,41150,편의점,14142505.2,4542445.347,경기도 의정부시 의정부동 494
41,200089,509010,2025,41220103,지에스25송탄모곡점,,경기도 평택시 모곡길 20,41220,편의점,14145716.29,4443260.86,경기도 평택시 모곡동 294-14
41,200090,509010,2025,41820345,지에스25가평신상리점,,경기도 가평군 조종면 운악청계로 348,41820,편의점,14177150.26,4557772.96,경기도 가평군 조종면 신상리 131-1
41,200091,509010,2025,41220106,씨유정원셀프주유소점,,경기도 평택시 청원로 1640,41220,편의점,14149070.69,4445247.207,경기도 평택시 도일동 707-5
41,200092,509010,2025,41480108,지에스25야당유미어스,,경기도 파주시 경의로 1016,41480,편의점,14110796.31,4538295.225,경기도 파주시 야당동 1048
41,200093,509010,2025,41113126,이마트24수원권선,,경기도 수원시 권선구 세지로87번길 11,41113,편의점,14139510.9,4475382.769,경기도 수원시 권선구 세류동 853
41,200094,509010,2025,41610105,씨유광주탄벌동보점,,경기도 광주시 벌원길 71,41610,편의점,14165269.83,4497255.425,경기도 광주시 탄벌동 37-9
41,200095,509010,2025,41150110,대명편의점,,경기도 의정부시 호국로 1112,41150,편의점,14140611.09,4543162.333,경기도 의정부시 가능동 803
41,200096,509010,2025,41463113,세븐일레븐용인마북연,,경기도 용인시 기흥구 마북로240번길 5,41463,편의점,14152202.62,4482192.952,경기도 용인시 기흥구 마북동 115-2
41,200097,509010,2025,41113133,이마트24수원,,경기도 수원시 권선구 탑동로11번길 58-16,41113,편의점,14134441.68,4476832.384,경기도 수원시 권선구 탑동 821-1
41,200098,509010,2025,41480115,지에스25문발휴게소점,,경기도 파주시 교하로 849,41480,편의점,14104308.04,4540411.581,경기도 파주시 문발동 89-3
41,200099,509010,2025,41360256,지에스25월산화광점,,경기도 남양주시 화도읍 경춘로 2232,41360,편의점,14174934.93,4530873.05,경기도 남양주시 화도읍 월산리 43-3
41,200100,509010,2025,41590253,아이스크림이싸다구,,경기도 화성시 봉담읍 와우안길 39,41590,편의점,14134992.17,4469167.257,경기도 화성시 봉담읍 와우리 69-4
41,200101,509010,2025,41360360,세븐일레븐남양주송촌리점,,경기도 남양주시 조안면 북한강로 550,41360,편의점,14173480.71,4518582.087,경기도 남양주시 조안면 송촌리 742-6
41,200102,509010,2025,41820345,씨유뉴현리맹호점,,경기도 가평군 조종면 운악청계로 156,41820,편의점,14175947.48,4556012.301,경기도 가평군 조종면 현리 74-18
41,200103,509010,2025,41610101,세븐일레븐경기광주경안문화로점,,경기도 광주시 문화로 98,41610,편의점,14165605.63,4496670.257,경기도 광주시 경안동 154-3
41,200104,509010,2025,41500253,지에스25이천리슈빌,,경기도 이천시 부발읍 경충대로2092번길 31,41500,편의점,14192287.28,4474383.319,경기도 이천시 부발읍 아미리 670-5
41,200105,509010,2025,41590360,세븐일레븐화성율암점,,경기도 화성시 팔탄면 노하길 460,41590,편의점,14123726.8,4461907.247,경기도 화성시 팔탄면 율암리 430-10
41,200106,509010,2025,41135106,지에스25분당이매촌점,,경기도 성남시 분당구 성남대로779번길 14,41135,편의점,14151702.68,4494934.05,경기도 성남시 분당구 이매동 105-6
41,200107,509010,2025,41190103,씨유삼보,,경기도 부천시 원미구 조마루로385번길 122,41190,편의점,14114366.98,4509267.297,경기도 부천시 원미구 춘의동 195
41,200108,509010,2025,41360102,지에스25평내행운,,경기도 남양주시 평내로 150,41360,편의점,14164463.78,4529671.106,경기도 남양주시 평내동 599
41,200109,509010,2025,41111133,씨유수원천천,,경기도 수원시 장안구 정자천로13번길 45,41111,편의점,14135166.66,4479715.21,경기도 수원시 장안구 천천동 325-40
41,200110,509010,2025,41670370,홀인원그늘집,,경기도 여주시 강천면 강문로 1047,41670,편의점,14220027.29,4477856.006,경기도 여주시 강천면 부평리 351
41,200111,509010,2025,41220320,씨유평택서탄,,경기도 평택시 서탄면 서탄로 334,41220,편의점,14141261.88,4454824.812,경기도 평택시 서탄면 금암리 506
41,200112,509010,2025,41220340,씨유당거리휴게소,,경기도 평택시 오성면 강변로 424,41220,편의점,14134534.07,4437370.718,경기도 평택시 오성면 당거리 398-12
41,200113,509010,2025,41210101,씨유광명타운점,,경기도 광명시 오리로963번길 41,41210,편의점,14121380.31,4505574.516,경기도 광명시 광명동 49-79
41,200114,509010,2025,41430105,씨유의왕동영벤처스텔점,,경기도 의왕시 오전공업길 22,41430,편의점,14133711.24,4488784.051,경기도 의왕시 오전동 172
41,200115,509010,2025,41117106,GS25수원,,경기도 수원시 영통구 영통로241번길 12-6,41117,편의점,14143946.26,4473904.603,경기도 수원시 영통구 신동 340-13
41,200116,509010,2025,41360110,스토리웨이,,경기도 남양주시 경춘로 433,41360,편의점,14155512.56,4524324.944,경기도 남양주시 다산동 4056-1
41,200117,509010,2025,41250102,세븐동두천거북로점,,경기도 동두천시 거북마루로 10,41250,편의점,14142814.51,4564717.119,경기도 동두천시 지행동 674-5
41,200118,509010,2025,41190113,씨유괴안스마트점,,경기도 부천시 소사구 경인로562번길 20,41190,편의점,14117263.67,4507033.175,경기도 부천시 소사구 괴안동 175-4
41,200119,509010,2025,41135108,세븐판교도서관점,,경기도 성남시 분당구 판교공원로3길 8,41135,편의점,14147655.31,4493770.886,경기도 성남시 분당구 판교동 613-1
